label,attempt,target_hw,flow_hint,seed_flow,result_flow,result_hw,result_outlet_velocity,flow_type,length_full_m,length_free_m,upstream_hw,downstream_tw,inlet_invert,outlet_invert,culvert_length,culvert_slope,barrel_count,section_shape,section_diameter,section_width,section_height,roadway_crest,workspace,rst_path,row_index
Culvert-01-hw5.00,0,551.100000,25.014783,0.000000,0.000000,546.500000,0.000000,0-NF,0.000000,0.000000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,1
Culvert-01-hw5.00,0,551.100000,25.014783,15.008870,15.010000,547.930000,2.740000,7-M2c,20.410000,4.590000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,2
Culvert-01-hw5.00,0,551.100000,25.014783,20.011826,20.010000,548.860000,3.320000,7-M2c,24.010000,0.990000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,3
Culvert-01-hw5.00,0,551.100000,25.014783,22.513305,22.510000,549.400000,3.650000,7-M2c,24.530000,0.470000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,4
Culvert-01-hw5.00,0,551.100000,25.014783,25.014783,25.010000,550.000000,4.000000,7-M2c,24.750000,0.250000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,5
Culvert-01-hw5.00,0,551.100000,25.014783,27.516261,27.520000,550.670000,4.730000,7-M2c,25.000000,0.000000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,6
Culvert-01-hw5.00,0,551.100000,25.014783,30.017740,30.020000,551.380000,4.720000,6-FFc,25.000000,0.000000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,7
Culvert-01-hw5.00,0,551.100000,25.014783,35.020696,35.020000,553.000000,5.500000,6-FFc,25.000000,0.000000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd,hy8_runs\hy8-Culvert-01-hw5.00-9cb4dd\circular_hy8-Culvert-01-hw5.00-9cb4dd.rst,8
Culvert-01-Q5.00,0,546.100000,5.000000,0.000000,0.000000,546.500000,0.000000,0-NF,0.000000,0.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-3def2d,hy8_runs\hy8-Culvert-01-Q5.00-3def2d\circular_hy8-Culvert-01-Q5.00-3def2d.rst,1
Culvert-01-Q5.00,0,546.100000,5.000000,3.000000,3.000000,546.650000,0.830000,3-M1t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-3def2d,hy8_runs\hy8-Culvert-01-Q5.00-3def2d\circular_hy8-Culvert-01-Q5.00-3def2d.rst,2
Culvert-01-Q5.00,0,546.100000,5.000000,4.250000,4.250000,546.740000,1.170000,3-M2t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-3def2d,hy8_runs\hy8-Culvert-01-Q5.00-3def2d\circular_hy8-Culvert-01-Q5.00-3def2d.rst,3
Culvert-01-Q5.00,0,546.100000,5.000000,5.000000,5.000000,546.800000,1.380000,3-M2t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-3def2d,hy8_runs\hy8-Culvert-01-Q5.00-3def2d\circular_hy8-Culvert-01-Q5.00-3def2d.rst,4
Culvert-01-Q5.00,0,546.100000,5.000000,5.750000,5.750000,546.860000,1.580000,3-M2t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-3def2d,hy8_runs\hy8-Culvert-01-Q5.00-3def2d\circular_hy8-Culvert-01-Q5.00-3def2d.rst,5
Culvert-02-hw5.00,0,553.000000,30.973552,0.000000,0.000000,548.000000,0.000000,0-NF,0.000000,0.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,1
Culvert-02-hw5.00,0,553.000000,30.973552,18.584131,18.580000,549.510000,3.140000,5-S2n,0.000000,25.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,2
Culvert-02-hw5.00,0,553.000000,30.973552,24.778842,24.780000,550.070000,3.290000,5-S2n,0.000000,25.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,3
Culvert-02-hw5.00,0,553.000000,30.973552,27.876197,27.880000,550.420000,3.410000,7-M2c,0.000000,25.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,4
Culvert-02-hw5.00,0,553.000000,30.973552,30.973552,30.970000,550.820000,3.660000,7-M2c,16.250000,8.750000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,5
Culvert-02-hw5.00,0,553.000000,30.973552,34.070907,34.070000,551.270000,3.940000,7-M2c,22.020000,2.980000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,6
Culvert-02-hw5.00,0,553.000000,30.973552,37.168262,37.170000,551.770000,4.230000,7-M2c,23.630000,1.370000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,7
Culvert-02-hw5.00,0,553.000000,30.973552,43.362973,43.360000,552.910000,4.990000,7-M2c,24.960000,0.040000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-786ff5,hy8_runs\hy8-Culvert-02-hw5.00-786ff5\circular_hy8-Culvert-02-hw5.00-786ff5.rst,8
Culvert-02-hw5.00,1,553.000000,30.973552,0.000000,0.000000,548.000000,0.000000,0-NF,0.000000,0.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-dddba1,hy8_runs\hy8-Culvert-02-hw5.00-dddba1\circular_hy8-Culvert-02-hw5.00-dddba1.rst,1
Culvert-02-hw5.00,1,553.000000,30.973552,18.584131,18.580000,549.510000,3.140000,5-S2n,0.000000,25.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-dddba1,hy8_runs\hy8-Culvert-02-hw5.00-dddba1\circular_hy8-Culvert-02-hw5.00-dddba1.rst,2
