label,q_left,hw_left,q_hy8,hw_hy8,dq_rel,dhw,vout_left,vout_hy8,hf_hds5_partial,hf_hds5_full,he_hds5,hx_hds5,avail_hds5,hds5_len_full_est_at_hds5Q,hy8_normal_depth,hy8_critical_depth,hy8_outlet_depth,hy8_tailwater_depth,hy8_length_full,hds5_len_full_est_at_hy8Q,hf_at_hy8Q_full,hf_at_hy8Q_partial
Culvert-01-hw5.00,25.014783,551.100000,28.529437,551.100000,0.123194,0.000000,6.891248,4.534527,1.626907,1.626907,0.551812,0.788303,4.600000,25.000000,0.900000,0.860000,0.860000,0.500000,24.750000,25.000000,2.116195,2.116195
Culvert-01-Q5.00,5.000357,546.795587,5.000000,546.800000,0.000071,0.004413,1.377534,1.380000,0.000000,0.065009,0.022050,0.031499,0.295587,0.000000,0.610000,0.410000,0.500000,0.500000,0.000000,0.000000,0.064999,0.000000
Culvert-02-hw5.00,30.973552,553.000000,43.339304,553.000000,0.285324,0.000000,8.680061,4.833846,0.840294,0.840294,0.418258,0.597512,5.100000,25.000000,1.200000,1.200000,1.200000,0.500000,25.010000,25.000000,1.645180,1.645180
Culvert-03-hw5.00,7.916548,15.000000,28.061056,15.000000,0.717881,0.000000,10.223205,6.182343,0.026507,0.026507,0.044767,0.063952,5.400000,25.000000,1.520000,2.140000,1.650000,0.500000,0.000000,25.000000,0.333036,0.333036
Culvert-03-Q5.00,5.000027,11.743530,5.000000,11.370000,0.000005,-0.373530,6.456892,4.110000,0.000000,0.010574,0.017858,0.025511,2.143530,0.000000,0.670000,0.950000,0.690000,0.500000,0.000000,0.000000,0.010574,0.000000
Culvert-04-hw5.00,18.673726,4.000000,32.056591,4.000000,0.417476,0.000000,9.053700,4.738871,0.371636,0.371636,0.249083,0.355833,4.800000,25.000000,1.500000,1.340000,1.340000,0.500000,21.970000,25.000000,1.095193,1.095193
Culvert-05-hw5.00,0.385916,105.200000,3.443557,105.200000,0.887931,0.000000,9.987728,5.687804,0.004544,0.004544,0.009381,0.018762,5.100000,10.000000,0.630000,0.840000,0.730000,0.100000,0.000000,10.000000,0.361833,0.361833
Culvert-06-hw5.00,5.419336,106.000000,6.250704,106.000000,0.133004,0.000000,6.766009,6.726231,0.345847,0.345847,0.468270,1.170676,5.200000,25.000000,0.700000,1.100000,0.850000,0.800000,0.000000,25.000000,0.460098,0.460098
Culvert-06-Q5.00,5.000009,105.375781,5.000000,104.330000,0.000002,-1.045781,6.242481,6.150000,0.294397,0.294397,0.398608,0.996520,4.575781,25.000000,0.660000,1.140000,0.810000,0.800000,0.000000,25.000000,0.294396,0.294396
Culvert-07-hw5.00,2.974091,205.000000,18.979718,205.000000,0.843302,0.000000,10.616436,5.718817,0.035403,0.035403,0.018052,0.036104,5.800000,80.000000,1.290000,1.430000,1.320000,0.200000,0.000000,80.000000,1.441816,1.441816
Culvert-07-Q15.00,15.000022,346.737793,15.000000,203.330000,0.000001,-143.407793,53.544688,5.260000,0.900563,0.900563,0.459196,0.918393,147.537793,80.000000,1.090000,1.370000,1.130000,0.200000,0.000000,80.000000,0.900560,0.900560
Culvert-08-hw3.00,4.557166,8.000000,7.740078,8.000000,0.411225,0.000000,7.595277,5.135504,0.126361,0.126361,0.132358,0.264715,3.200000,25.000000,0.570000,1.000000,0.710000,0.300000,0.000000,25.000000,0.364515,0.364515
Culvert-08-Q8.00,7.999926,14.661255,8.000000,7.900000,0.000009,-6.761255,13.333210,5.060000,0.389400,0.389400,0.407879,0.815758,9.861255,25.000000,0.640000,1.000000,0.790000,0.300000,0.000000,25.000000,0.389407,0.389407
Culvert-09-hw5.00,12.744863,13.000000,57.669427,13.000000,0.779001,0.000000,10.620719,7.061026,0.020061,0.020061,0.028756,0.057512,5.800000,40.000000,1.250000,2.000000,1.650000,0.200000,0.000000,40.000000,0.410742,0.410742
Culvert-09-Q15.00,14.999979,15.234131,15.000000,9.430000,0.000001,-5.804131,12.499982,5.240000,0.027788,0.027788,0.039833,0.079665,8.034131,40.000000,0.410000,0.860000,0.480000,0.200000,0.000000,40.000000,0.027788,0.027788
Culvert-10-hw5.00,0.313193,55.000000,1.381538,55.000000,0.773301,0.000000,10.111209,4.937201,0.156107,0.156107,0.031279,0.062559,5.400000,60.000000,0.600000,0.560000,0.560000,0.100000,59.350000,60.000000,3.037555,3.037555
Culvert-11-hw5.00,0.483438,17.000000,5.376584,17.000000,0.910085,0.000000,10.739349,5.199752,0.013101,0.013101,0.006521,0.009316,5.900000,25.000000,1.200000,1.080000,1.080000,0.100000,25.000000,25.000000,1.620475,1.620475
Culvert-13-hw5.00,7.779422,305.000000,29.633933,305.000000,0.737483,0.000000,10.464712,4.542921,0.169627,0.169627,0.046907,0.067010,5.800000,45.000000,1.200000,1.060000,1.060000,0.200000,38.540000,45.000000,2.461376,2.461376
Culvert-13-Q25.00,25.000083,359.098535,25.000000,303.200000,0.000003,-55.898535,33.629577,3.870000,1.751791,1.751791,0.484421,0.692030,59.898535,45.000000,1.200000,1.090000,1.090000,0.200000,41.680000,45.000000,1.751779,1.751779
