label,attempt,target_hw,flow_hint,seed_flow,result_flow,result_hw,result_outlet_velocity,flow_type,length_full_m,length_free_m,upstream_hw,downstream_tw,inlet_invert,outlet_invert,culvert_length,culvert_slope,barrel_count,section_shape,section_diameter,section_width,section_height,roadway_crest,workspace,rst_path,row_index
Culvert-01-hw5.00,0,551.100000,,0.000000,0.000000,546.500000,0.000000,0-NF,0.000000,0.000000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a\circular_hy8-Culvert-01-hw5.00-24ce4a.rst,1
Culvert-01-hw5.00,0,551.100000,,6.253696,6.250000,546.900000,1.720000,3-M2t,0.000000,25.000000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a\circular_hy8-Culvert-01-hw5.00-24ce4a.rst,2
Culvert-01-hw5.00,0,551.100000,,12.507392,12.510000,547.550000,2.490000,7-M2c,14.190000,10.810000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a\circular_hy8-Culvert-01-hw5.00-24ce4a.rst,3
Culvert-01-hw5.00,0,551.100000,,18.761088,18.760000,548.610000,3.160000,7-M2c,23.570000,1.430000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a\circular_hy8-Culvert-01-hw5.00-24ce4a.rst,4
Culvert-01-hw5.00,0,551.100000,,25.014783,25.010000,550.000000,4.000000,7-M2c,24.750000,0.250000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a\circular_hy8-Culvert-01-hw5.00-24ce4a.rst,5
Culvert-01-hw5.00,0,551.100000,,37.522175,37.520000,553.910000,5.900000,6-FFc,25.000000,0.000000,551.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a,hy8_runs\hy8-Culvert-01-hw5.00-24ce4a\circular_hy8-Culvert-01-hw5.00-24ce4a.rst,6
Culvert-01-Q5.00,0,546.100000,5.000000,0.000000,0.000000,546.500000,0.000000,0-NF,0.000000,0.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-a81a12,hy8_runs\hy8-Culvert-01-Q5.00-a81a12\circular_hy8-Culvert-01-Q5.00-a81a12.rst,1
Culvert-01-Q5.00,0,546.100000,5.000000,3.000000,3.000000,546.650000,0.830000,3-M1t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-a81a12,hy8_runs\hy8-Culvert-01-Q5.00-a81a12\circular_hy8-Culvert-01-Q5.00-a81a12.rst,2
Culvert-01-Q5.00,0,546.100000,5.000000,4.250000,4.250000,546.740000,1.170000,3-M2t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-a81a12,hy8_runs\hy8-Culvert-01-Q5.00-a81a12\circular_hy8-Culvert-01-Q5.00-a81a12.rst,3
Culvert-01-Q5.00,0,546.100000,5.000000,5.000000,5.000000,546.800000,1.380000,3-M2t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-a81a12,hy8_runs\hy8-Culvert-01-Q5.00-a81a12\circular_hy8-Culvert-01-Q5.00-a81a12.rst,4
Culvert-01-Q5.00,0,546.100000,5.000000,5.750000,5.750000,546.860000,1.580000,3-M2t,0.000000,25.000000,546.100000,546.500000,546.100000,546.000000,25.000000,0.004000,10,circular,0.900000,,,564.100000,hy8_runs\hy8-Culvert-01-Q5.00-a81a12,hy8_runs\hy8-Culvert-01-Q5.00-a81a12\circular_hy8-Culvert-01-Q5.00-a81a12.rst,5
Culvert-02-hw5.00,0,553.000000,,0.000000,0.000000,548.000000,0.000000,0-NF,0.000000,0.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf\circular_hy8-Culvert-02-hw5.00-65fdcf.rst,1
Culvert-02-hw5.00,0,553.000000,,7.743388,7.740000,548.800000,2.520000,1-S2n,0.000000,25.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf\circular_hy8-Culvert-02-hw5.00-65fdcf.rst,2
Culvert-02-hw5.00,0,553.000000,,15.486776,15.490000,549.290000,3.000000,5-S2n,0.000000,25.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf\circular_hy8-Culvert-02-hw5.00-65fdcf.rst,3
Culvert-02-hw5.00,0,553.000000,,23.230164,23.230000,549.920000,3.270000,5-S2n,0.000000,25.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf\circular_hy8-Culvert-02-hw5.00-65fdcf.rst,4
Culvert-02-hw5.00,0,553.000000,,30.973552,30.970000,550.820000,3.660000,7-M2c,16.250000,8.750000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf\circular_hy8-Culvert-02-hw5.00-65fdcf.rst,5
Culvert-02-hw5.00,0,553.000000,,46.460328,46.460000,553.550000,5.130000,6-FFc,25.010000,0.000000,553.000000,547.900000,548.000000,547.400000,25.000000,0.024000,8,circular,1.200000,,,572.000000,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf,hy8_runs\hy8-Culvert-02-hw5.00-65fdcf\circular_hy8-Culvert-02-hw5.00-65fdcf.rst,6
Culvert-03-hw5.00,0,15.000000,,0.000000,0.000000,10.000000,0.000000,0-NF,0.000000,0.000000,15.000000,9.600000,10.000000,9.100000,25.000000,0.036000,1,circular,3.000000,,,70.000000,hy8_runs\hy8-Culvert-03-hw5.00-b27962,hy8_runs\hy8-Culvert-03-hw5.00-b27962\circular_hy8-Culvert-03-hw5.00-b27962.rst,1
Culvert-03-hw5.00,0,15.000000,,1.979137,1.980000,10.840000,3.220000,1-S2n,0.000000,25.000000,15.000000,9.600000,10.000000,9.100000,25.000000,0.036000,1,circular,3.000000,,,70.000000,hy8_runs\hy8-Culvert-03-hw5.00-b27962,hy8_runs\hy8-Culvert-03-hw5.00-b27962\circular_hy8-Culvert-03-hw5.00-b27962.rst,2
Culvert-03-hw5.00,0,15.000000,,3.958274,3.960000,11.210000,3.870000,1-S2n,0.000000,25.000000,15.000000,9.600000,10.000000,9.100000,25.000000,0.036000,1,circular,3.000000,,,70.000000,hy8_runs\hy8-Culvert-03-hw5.00-b27962,hy8_runs\hy8-Culvert-03-hw5.00-b27962\circular_hy8-Culvert-03-hw5.00-b27962.rst,3
Culvert-03-hw5.00,0,15.000000,,5.937411,5.940000,11.500000,4.300000,1-S2n,0.000000,25.000000,15.000000,9.600000,10.000000,9.100000,25.000000,0.036000,1,circular,3.000000,,,70.000000,hy8_runs\hy8-Culvert-03-hw5.00-b27962,hy8_runs\hy8-Culvert-03-hw5.00-b27962\circular_hy8-Culvert-03-hw5.00-b27962.rst,4
Culvert-03-hw5.00,0,15.000000,,7.916548,7.920000,11.770000,4.600000,1-S2n,0.000000,25.000000,15.000000,9.600000,10.000000,9.100000,25.000000,0.036000,1,circular,3.000000,,,70.000000,hy8_runs\hy8-Culvert-03-hw5.00-b27962,hy8_runs\hy8-Culvert-03-hw5.00-b27962\circular_hy8-Culvert-03-hw5.00-b27962.rst,5
